No,day,month,latitude,longitude,bus_id,seconds,No
374811,6,3,13.05072021,80.20610809,45214920406,53001,374811
374812,6,3,13.05072021,80.20610809,45214920406,53001,374812
374813,6,3,13.05072021,80.20610809,45214920406,53001,374813
374814,6,3,13.05072021,80.20610809,45214920406,53001,374814
374815,6,3,13.05072021,80.20610809,45214920406,53001,374815
374816,6,3,13.05072021,80.20610809,45214920406,53001,374816
374817,6,3,13.05072021,80.20610809,45214920406,53001,374817
374818,6,3,13.05072021,80.20610809,45214920406,53001,374818
376730,6,3,13.05113983,80.20606995,45214920406,53261,376730
376817,6,3,13.05107021,80.20614624,45214920406,53272,376817
376892,6,3,13.05107021,80.20614624,45214920406,53282,376892
376963,6,3,13.05107021,80.20614624,45214920406,53292,376963
377037,6,3,13.05107021,80.20614624,45214920406,53302,377037
377097,6,3,13.05107021,80.20614624,45214920406,53310,377097
377101,6,3,13.05107021,80.20614624,45214920406,53310,377101
377102,6,3,13.05107021,80.20614624,45214920406,53310,377102
377103,6,3,13.05107021,80.20614624,45214920406,53310,377103
377104,6,3,13.05107021,80.20614624,45214920406,53310,377104
377105,6,3,13.05107021,80.20614624,45214920406,53310,377105
377106,6,3,13.05107021,80.20614624,45214920406,53310,377106
377108,6,3,13.05107021,80.20614624,45214920406,53310,377108
377109,6,3,13.05107021,80.20614624,45214920406,53310,377109
377110,6,3,13.05107021,80.20614624,45214920406,53310,377110
377112,6,3,13.05107021,80.20614624,45214920406,53310,377112
377113,6,3,13.05107021,80.20614624,45214920406,53310,377113
377115,6,3,13.05107021,80.20614624,45214920406,53310,377115
377116,6,3,13.05107021,80.20614624,45214920406,53310,377116
377117,6,3,13.05107021,80.20614624,45214920406,53310,377117
377118,6,3,13.05107021,80.20614624,45214920406,53310,377118
377119,6,3,13.05107021,80.20614624,45214920406,53310,377119
377120,6,3,13.05107021,80.20614624,45214920406,53310,377120
377121,6,3,13.05107021,80.20614624,45214920406,53310,377121
377122,6,3,13.05107021,80.20614624,45214920406,53310,377122
377123,6,3,13.05107021,80.20614624,45214920406,53310,377123
377124,6,3,13.05107021,80.20614624,45214920406,53310,377124
377125,6,3,13.05107021,80.20614624,45214920406,53310,377125
377126,6,3,13.05107021,80.20614624,45214920406,53310,377126
377127,6,3,13.05107021,80.20614624,45214920406,53310,377127
377128,6,3,13.05107021,80.20614624,45214920406,53310,377128
379105,6,3,13.05082989,80.20599365,45214920406,53580,379105
379206,6,3,13.05082989,80.20599365,45214920406,53593,379206
